,Composer,Title,KeySignature,Duration,highestOffset,highestTimeD,Tempo,firstTimeSig,timeSigChanges,noteCount,keySigChanges
0,Bach,bwv1.6.mxl,2,80.0,77.0,80.0,80.0,1.0,1,503,1
1,Bach,bwv10.7.mxl,4,88.0,84.0,88.0,88.0,1.0,1,214,2
2,Bach,bwv101.7.mxl,2,48.0,45.0,48.0,48.0,1.0,1,208,2
3,Bach,bwv102.7.mxl,8,48.0,45.0,48.0,48.0,1.0,1,228,2
4,Bach,bwv103.6.mxl,4,48.0,45.0,48.0,48.0,1.0,1,247,2
5,Bach,bwv104.6.mxl,8,40.0,37.0,40.0,40.0,1.0,1,199,1
6,Bach,bwv108.6.mxl,4,52.0,49.0,52.0,52.0,1.0,1,291,2
7,Bach,bwv11.6.mxl,4,66.0,63.0,66.0,66.0,0.75,1,266,1
8,Bach,bwv110.7.mxl,4,44.0,41.0,44.0,44.0,1.0,1,206,2
9,Bach,bwv111.6.mxl,1,80.0,77.0,80.0,80.0,1.0,1,350,1
10,Bach,bwv112.5-sc.mxl,2,40.0,37.0,40.0,40.0,1.0,1,365,1
11,Bach,bwv112.5.mxl,2,56.0,53.0,56.0,56.0,1.0,1,297,1
12,Bach,bwv113.8.mxl,4,44.0,41.0,44.0,44.0,1.0,1,209,2
13,Bach,bwv114.7.mxl,4,40.0,37.0,40.0,40.0,1.0,1,209,2
14,Bach,bwv115.6.mxl,2,40.0,36.0,40.0,40.0,1.0,1,172,1
15,Bach,bwv116.6.mxl,8,52.0,49.0,52.0,52.0,1.0,1,215,1
16,Bach,bwv117.4.mxl,2,40.0,37.0,40.0,40.0,1.0,1,205,1
17,Bach,bwv119.9.mxl,1,86.0,78.0,86.0,86.0,1.0,1,192,1
18,Bach,bwv12.7.mxl,4,56.0,53.0,56.0,56.0,1.0,1,310,1
19,Bach,bwv120.6.mxl,4,64.0,61.0,64.0,64.0,1.0,1,293,1
20,Bach,bwv120.8-a.mxl,4,84.0,81.0,84.0,84.0,0.75,1,569,1
21,Bach,bwv121.6.mxl,4,65.0,61.0,65.0,65.0,1.0,1,276,2
22,Bach,bwv122.6.mxl,4,48.0,45.0,48.0,48.0,0.75,1,156,2
23,Bach,bwv123.6.mxl,4,96.0,90.0,96.0,96.0,1.5,1,179,2
24,Bach,bwv124.6.mxl,16,52.0,48.0,52.0,52.0,1.0,1,330,1
25,Bach,bwv125.6.mxl,2,48.0,45.0,48.0,48.0,1.0,1,215,1
26,Bach,bwv126.6.mxl,1,108.0,105.0,108.0,108.0,1.0,1,483,2
27,Bach,bwv127.5.mxl,2,48.0,45.0,48.0,48.0,1.0,1,242,1
28,Bach,bwv128.5.mxl,2,64.0,61.0,64.0,64.0,1.0,1,383,1
29,Bach,bwv13.6.mxl,4,48.0,45.0,48.0,48.0,1.0,1,206,1
30,Bach,bwv130.6.mxl,1,49.0,46.0,49.0,49.0,0.75,1,334,1
31,Bach,bwv133.6.mxl,4,48.0,45.0,48.0,48.0,1.0,1,183,1
32,Bach,bwv135.6.mxl,1,64.0,61.0,64.0,64.0,1.0,1,278,1
33,Bach,bwv136.6.mxl,4,48.0,45.0,48.0,48.0,1.0,1,276,1
34,Bach,bwv137.5.mxl,1,54.0,51.0,54.0,54.0,0.75,1,409,1
35,Bach,bwv139.6.mxl,16,48.0,45.0,48.0,48.0,1.0,1,226,1
36,Bach,bwv14.5.mxl,4,40.0,37.0,40.0,40.0,1.0,1,221,2
37,Bach,bwv140.7.mxl,8,68.0,64.0,68.0,68.0,1.0,1,294,1
38,Bach,bwv144.3.mxl,2,40.0,37.0,40.0,40.0,1.0,1,193,1
39,Bach,bwv144.6.mxl,4,60.0,57.0,60.0,60.0,1.0,1,257,2
40,Bach,bwv145-a.mxl,4,48.0,44.0,48.0,48.0,1.0,1,216,1
41,Bach,bwv145.5.mxl,8,54.0,51.0,54.0,54.0,0.75,1,176,2
42,Bach,bwv146.8.mxl,2,64.0,60.0,64.0,64.0,1.0,1,283,1
43,Bach,bwv148.6.mxl,8,48.0,45.0,48.0,48.0,1.0,1,212,2
44,Bach,bwv149.7.mxl,1,105.0,101.0,105.0,105.0,1.0,1,643,1
45,Bach,bwv151.5.mxl,2,40.0,37.0,40.0,40.0,1.0,1,172,1
46,Bach,bwv153.1.mxl,1,40.0,37.0,40.0,40.0,1.0,1,196,2
47,Bach,bwv153.5.mxl,1,48.0,45.0,48.0,48.0,1.0,1,183,2
48,Bach,bwv153.9.mxl,1,48.0,45.0,48.0,48.0,0.75,1,143,2
49,Bach,bwv154.3.mxl,8,48.0,44.0,48.0,48.0,1.0,1,207,1
50,Bach,bwv154.8.mxl,4,52.0,48.0,52.0,52.0,1.0,1,240,1
51,Bach,bwv155.5.mxl,2,40.0,37.0,40.0,40.0,1.0,1,214,1
52,Bach,bwv156.6.mxl,1,48.0,45.0,48.0,48.0,1.0,1,201,2
53,Bach,bwv157.5.mxl,4,52.0,48.0,52.0,52.0,1.0,1,246,1
54,Bach,bwv158.4.mxl,2,64.0,61.0,64.0,64.0,1.0,1,278,1
55,Bach,bwv159.5.mxl,8,64.0,60.0,64.0,64.0,1.0,1,277,1
56,Bach,bwv16.6.mxl,1,48.0,45.0,48.0,48.0,1.0,1,195,2
57,Bach,bwv161.6.mxl,1,48.0,45.0,48.0,48.0,1.0,1,372,2
58,Bach,bwv162.6-lpz.mxl,4,64.0,60.0,64.0,64.0,1.0,1,291,1
59,Bach,bwv164.6.mxl,4,40.0,37.0,40.0,40.0,1.0,1,174,1
60,Bach,bwv165.6.mxl,2,32.0,29.0,32.0,32.0,1.0,1,155,1
61,Bach,bwv166.6.mxl,4,36.0,33.0,36.0,36.0,1.0,1,142,1
62,Bach,bwv168.6.mxl,4,44.0,41.0,44.0,44.0,1.0,1,207,2
63,Bach,bwv169.7.mxl,8,60.0,57.0,60.0,60.0,1.0,1,251,1
64,Bach,bwv17.7.mxl,8,111.0,109.0,111.0,111.0,0.75,1,346,1
65,Bach,bwv171.6.mxl,4,165.0,161.0,165.0,165.0,1.0,2,1092,1
66,Bach,bwv172.6.mxl,2,56.0,53.0,56.0,56.0,1.0,1,353,1
